"analysis_id","gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","parameter_name","pvalue","qc_failure_count","qc_pvalue_failure_count"
"437v302va3d9l6y","MGI:2676921","FOCAD","C57BL","Middle aged adult","IMPC_HEM_003_001","hemoglobin",1.419156,0,1
"439i68k424ke3i8","MGI:104576","LCT","C57BL","Early adult","IMPC_OFD_016_001","center permanence time",1.078999,0,1
"43w7v3j4r4w6c2u","MGI:1921700","PANK2","C57BL","Early adult","CCP_XRY_020_001","processes on vertebrae",1.20797,0,1
"43xqad60832092e","MGI:1919410","TMEM163","C57BL","Early adult","IMPC_EYE_068_001","left total retinal thickness",1.437257,0,1
"44037w9e024t68a","MGI:1917212","METTL18","C57BL","Early adult","IMPC_GEL_028_001","forebrain",1.396517,0,1
"441t5859fk0i3b4","MGI:1925867","CSTAD","C57BL","Early adult","JAX_LDT_001_001","side changes",1.288663,0,1
"445vv1z6zcnq6x0","MGI:1861453","ACTL6A","C57BL","Early adult","IMPC_GEL_032_001","embryo size",1.068687,0,1
"4461n30y8263av8","MGI:109339","EYA3","C57BL","Early adult","IMPC_DXA_009_001","fat/body weight",1.09194,0,1
"447m73yg34mlj74","MGI:88016","AMPD2","C57BL","Early adult","IMPC_ECG_002_001","hr",1.182759,0,1
"44t2y0431s42v5l","MGI:95476","FABP3","C57BL","Early adult","IMPC_CSD_037_001","unexpected behaviors",1.137715,0,1
"44wk5j9740364o2","MGI:5301008","FSBP","C57BL","Early adult","IMPC_XRY_055_001","shape of spine",1.330507,0,1
"4513vx1x90o3hrl","MGI:1351614","GYG1","C57BL","Early adult","M-G-P_006_001_028","number of pelvic vertebrae",1.303221,0,1
"4542qdjik48k66x","MGI:2444646","HPDL","C57BL","Early adult","IMPC_EYE_057_001","min right eye lens density",1.221103,0,1
"45a3570763y481u","MGI:96549","IL2RA","C57BL","Early adult","IMPC_IPG_010_001","fasted blood glucose concentration",1.493176,0,1
"45a56ve77041631","MGI:2447076","KIF26B","C57BL","E12.5","M-G-P_025_001_001","glucose",1.383639,0,1
"45bd5hh3m660l26","MGI:1917854","DNAJB14","C57BL","Early adult","ESLIM_021_001_005","hdl-cholesterol",1.063184,0,1
"45cj3v68m70j16b","MGI:1277952","SERPINB3C","C57BL","Early adult","IMPC_HEM_001_001","white blood cell count",1.350851,0,1
"45r72sfu2v6wi4b","MGI:1277960","PATJ","C57BL","Early adult","M-G-P_007_001_003","whole arena - resting time",1.188979,0,1
"45s0i3ftx8378j9","MGI:1916125","TMCC2","C57BL","E18.5","ESLIM_007_001_013","centre average speed",1.1516,0,1
"45vc3iw86l7pr69","MGI:1916125","TMCC2","C57BL","E18.5","IMPC_OFD_016_001","center permanence time",1.327107,0,1
"460y03j16s13i07","MGI:1098826","COQ4","C57BL","Early adult","M-G-P_007_001_014","latency to enter in the center",1.140583,0,1
"463818qeb0hdmz3","MGI:2385112","NDUFS2","C57BL","E12.5","IMPC_HEM_004_001","hematocrit",1.176746,0,1
"4647ym4x40al2qw","MGI:1276107","MMP16","C57BL","Early adult","ESLIM_005_001_701","bmc/body weight",1.095488,0,1
"4656r6my2j1e293","MGI:1095396","COL16A1","C57BL","Early adult","CCP_XRY_005_001","teeth",1.15338,0,1
"46g04h2s12375sl","MGI:2684063","ASXL1","129SV","Early adult","IMPC_OFD_019_001","number of center entries",1.00539,0,1
"46i1a6cq55y737b","MGI:1201414","CER1","C57BL","Early adult","IMPC_ABR_006_001","12khz-evoked abr threshold",1.041852,0,1
"46ougz05m71h241","MGI:1352501","BCAR3","C57BL","Early adult","IMPC_GEL_029_001","midbrain",1.118417,0,1
"47049918n66ux4c","MGI:2448580","MYO3B","C57BL","Early adult","IMPC_OFD_017_001","center average speed",1.223786,0,1
"472492a5vrjr28z","MGI:2444149","A830018L16RIK","C57BL","Early adult","IMPC_EYE_065_001","right posterior chamber depth",1.029092,0,1
"4776g60s4l449bk","MGI:88294","CACNA1S","C57BL","E15.5","IMPC_OFD_019_001","number of center entries",1.026117,0,1
"47bhivunw8a4g5f","MGI:1924627","KCNT1","C57BL","Early adult","IMPC_CSD_061_001","skin color - tail",1.102389,0,1
"47eof7khuj34025","MGI:3027003","INO80D","C57BL","E12.5","IMPC_CSD_029_001","activity (body position)",1.430029,0,1
"47l9p542qsgkkt9","MGI:1918079","CCDC93","C57BL","Early adult","IMPC_IPG_012_001","area under glucose response curve",1.429626,0,1
"47o0dc34n8x791p","MGI:1920000","FAM117B","C57BL","Early adult","IMPC_GEL_014_001","allantois morphology",1.197584,0,1
"480qrht2rv6een8","MGI:1890077","FOXO1","C57BL","E9.5","IMPC_CAL_017_001","respiratory exchange ratio",1.199565,0,1
"481se61py4zs874","MGI:1916125","TMCC2","C57BL","E18.5","IMPC_FEA_105_001","difference in context and conditioning baseline % freezing",1.470999,0,1
"4871i8d30a99556","MGI:1862037","SLC12A5","C57BL","E15.5","IMPC_CBC_012_001","aspartate aminotransferase",1.464651,0,1
"48wi40ic3z51339","MGI:2155705","P2RY14","C57BL","Middle aged adult","IMPC_EYE_062_001","right total retinal thickness",1.226515,0,1
"492iiz36xlg4yl4","MGI:1925867","CSTAD","C57BL","Early adult","IMPC_CSD_037_001","unexpected behaviors",1.253637,0,1
"494i7v014ru612e","MGI:1930773","PNKD","C57BL","Early adult","IMPC_CBC_002_001","potassium",1.390128,0,1
"497d0tp0325e06j","MGI:96549","IL2RA","C57BL","Early adult","IMPC_DXA_010_001","bone area",1.082968,0,1
"4993ug1tx2qake5","MGI:1890577","SRSF4","129SV","Early adult","KMPCLA_OFD_012_001","periphery permanence time",1.1006,0,1
"49dd0y5o86fd9z8","MGI:3780953","MNDAL","C58BL","E15.5","IMPC_XRY_033_001","tibia length",1.492395,0,1
"49r2hwra17112te","MGI:107339","GFM1","C57BL","Early adult","IMPC_CSD_079_001","aggression",1.167165,0,1
"49ru4776aaa96o2","MGI:2445194","CIMIP2B","C57BL","Early adult","IMPC_GEO_047_002","microphthalmia",1.426786,0,1
"4a778tv2d62h373","MGI:88016","AMPD2","C57BL","Early adult","IMPC_GEL_011_001","embryo turning",1.09292,0,1
"4aiao5qsmvg19y5","MGI:95500","FCGR3","C57BL","Late adult","IMPC_CBC_001_001","sodium",1.426164,0,1
"4bd8316f28ll7wi","MGI:2181743","D430041D05RIK","C57BL","Early adult","IMPC_OFD_022_001","percentage center time",1.045316,0,1
"4bl5069hjvo0oj1","MGI:1917854","DNAJB14","C57BL","Early adult","CCP_LFO_007_001","hqp",1.398054,0,1
"4bmqfrks8ewtils","MGI:1917854","DNAJB14","C57BL","E9.5","IMPC_HEM_004_001","hematocrit",1.41966,0,1
"4c06h441i001h2c","MGI:2158650","IDH3B","C57BL","Middle aged adult","IMPC_XRY_019_001","fusion of vertebrae",1.408408,0,1
"4cd000n90xlw6w0","MGI:1917854","DNAJB14","C57BL","E18.5","ESLIM_005_001_704","bone area (bmc/bmd)",1.037671,0,1
"4cjmqjs88x4u9g8","MGI:1861453","ACTL6A","C57BL","E9.5","IMPC_HEM_001_001","white blood cell count",1.131188,0,1
"4d0c85w47s7p33q","MGI:1354944","ORC3","C57BL","Early adult","M-G-P_014_001_007","cornea opacity",1.340789,0,1
"4dm21jnd6w5k2r1","MGI:2158650","IDH3B","C57BL","Middle aged adult","IMPC_GPP_002_001","placenta morphology",1.336878,0,1
"4e06x090r8m31rn","MGI:3027003","INO80D","C57BL","Early adult","UCD_OWT_029_001","body length",1.138143,0,1
"4f0lt47kd459i8t","MGI:96549","IL2RA","C57BL","Early adult","IMPC_EYE_056_001","mean left eye lens density",1.330038,0,1
"4fi1x93pw62qj1v","MGI:1919347","CRACDL","C57BL","Early adult","ESLIM_013_001_003","left retina",1.259546,0,1
"4h5rr5hxd90qes1","MGI:1921783","GZF1","C57BL","Early adult","ESLIM_016_001_002","red blood cell count",1.095291,0,1
"4hcj2tk4497wur3","MGI:1276107","MMP16","C57BL","Early adult","ESLIM_005_001_702","lean/body weight",1.246203,0,1
"4j22bc63or49c36","MGI:1915941","KANSL1L","C57BL","Early adult","IMPC_OFD_020_001","distance travelled - total",1.062411,0,1
"4k8l67219q817b7","MGI:2443258","MAP3K20","C57BL","Early adult","IMPC_CBC_015_001","total cholesterol",1.242028,0,1
"4l1385159qoi6t0","MGI:2180167","NAXE","C57BL","Early adult","IMPC_HEM_029_001","neutrophil differential count",1.085463,0,1
"4l61u1zsz5662az","MGI:1890577","SRSF4","C57BL","Early adult","IMPC_CSD_077_001","contact righting",1.167061,0,1
"4lkpd5why7662xb","MGI:1929612","IKBKE","C57BL","Early adult","IMPC_DXA_005_001","bone mineral content (excluding skull)",1.188759,0,1
"4mf761ej07ppbi7","MGI:2442676","CDC14A","C57BL","Early adult","IMPC_GEO_009_002","hemorrhage",1.476347,0,1
"4mi7gn7g225qzs3","MGI:104742","KCNJ3","C57BL","Early adult","M-G-P_025_001_021","uric acid",1.201948,0,1
"4mpou6lk23quq78","MGI:2155705","P2RY14","C57BL","Late adult","IMPC_CSD_016_001","coat - hair texture / appearance - abdomen",1.019601,0,1
"4n18n679yk0h0y5","MGI:2181743","D430041D05RIK","C57BL","Early adult","IMPC_CSD_007_001","coat - color - abdomen",1.313667,0,1
"4na558z9777i066","MGI:2447076","KIF26B","C57BL","Early adult","IMPC_CBC_013_001","alanine aminotransferase",1.3055,0,1
"4o350n0kjf4wr12","MGI:95521","FGF7","C57BL","Early adult","IMPC_HWT_008_001","heart weight",1.07231,0,1
"4o429b0n8343b1e","MGI:1201792","PDE1A","C57BL","Early adult","JAX_ECT_011_001","ma threshold inducing clonic seizure",1.070426,0,1
"4o6121yfi12pu0j","MGI:1890577","SRSF4","C57BL","Early adult","IMPC_CSD_005_001","coat - color - back",1.393076,0,1
"4o91140yp1l483d","MGI:1914848","UCHL5","C57BL","Early adult","IMPC_ECG_003_001","cv",1.034726,0,1
"4p3c41b1qz3o7bx","MGI:1890077","FOXO1","C57BL","Early adult","M-G-P_007_001_014","latency to enter in the center",1.149559,0,1
"4pr8f4512jc6ee1","MGI:1916417","PPP1R12B","C59BL","Early adult","M-G-P_006_001_027","number of lumbar vertebrae",1.332365,0,1
"4qx031tfkjp7mru","MGI:3030932","OR8H8","C57BL","Early adult","IMPC_HEM_007_001","mean cell hemoglobin concentration",1.370097,0,1
"4rj8ph3j91y9d48","MGI:2156687","SLC2A10","C57BL","Early adult","IMPC_GEP_011_002","hemorrhage",1.043175,0,1
"4rlt7jy389h367x","MGI:2387194","QSOX2","C57BL","Early adult","IMPC_CSD_002_001","tail - length",1.490848,0,1
"4si3wk1ztq5j6b8","MGI:2139309","GARNL3","C57BL","Early adult","CCP_XRY_057_001","kyphosis",1.057135,0,1
"4uk51a9i398msl3","MGI:1913826","UQCRH","C57BL","Early adult","CCP_XRY_018_001","shape of vertebrae",1.00994,0,1
"4vb6vd68e6421m2","MGI:1915106","ECHDC3","C57BL","Early adult","IMPC_OFD_013_001","periphery average speed",1.267146,0,1
"4vcy08x3155a03l","MGI:1913842","STOML2","C57BL","Early adult","HRWLLA_CBC_028_001","creatine kinase",1.088868,0,1
"4vdw2vlr61b78z6","MGI:2444401","SNRNP200","C57BL","Early adult","IMPC_ABR_010_001","24khz-evoked abr threshold",1.159404,0,1
"4w9q2xiv5vq9bvg","MGI:1921778","MGME1","C57BL","Middle aged adult","IMPC_CBC_026_001","free fatty acids",1.115425,0,1
"4wk373vdk3i96w1","MGI:3780953","MNDAL","C57BL","E9.5","JAX_OFD_007_001","whole arena resting time",1.303375,0,1
"4ws19do253738es","MGI:2682639","DDX31","C57BL","E9.5","IMPC_EYE_068_001","left total retinal thickness",1.480232,0,1
"4wx864k0ou1j90l","MGI:1098826","COQ4","C57BL","Early adult","IMPC_EYE_056_001","mean left eye lens density",1.114453,0,1
"4y079jfeph2c09y","MGI:1919362","PPP1R14D","C57BL","Early adult","IMPC_HEM_002_001","red blood cell count",1.34757,0,1
"4yai311fb167j78","MGI:1921985","TRIM14","C57BL","Early adult","IMPC_DXA_008_001","lean/body weight",1.41735,0,1
"4z1j2l8gql0h5co","MGI:104580","RAPGEF1","C57BL","Early adult","IMPC_CBC_015_001","total cholesterol",1.186525,0,1
"4zux11ji045e82x","MGI:1915106","ECHDC3","C57BL","Early adult","IMPC_EYE_024_001","retinal blood vessels",1.170841,0,1
"50584yrn4ecyj2e","MGI:1858745","ICOS","C57BL","Early adult","GMC_923_001_001","body weight",1.313518,0,1
"50msclpcn34sh0o","MGI:2442939","PM20D1","C57BL","Early adult","IMPC_OFD_019_001","number of center entries",1.413275,0,1
"513659732a6410g","MGI:2444218","AHDC1","C57BL","Early adult","IMPC_GEP_005_002","responsive to tactile stimuli",1.019084,0,1
"51422y0320t3481","MGI:1921660","TTLL11","C57BL","Early adult","JAX_OFD_014_001","center distance travelled",1.386656,0,1
"5178567151444x4","MGI:104576","LCT","C57BL","Early adult","IMPC_HEM_030_001","neutrophil cell count",1.161104,0,1
"51cm96now4f8ry9","MGI:2385619","KLHL12","C57BL","Early adult","IMPC_EYE_092_002","retina (combined)",1.243241,0,1
"51d6860nkhhfr32","MGI:1913302","SDHC","C57BL","Early adult","IMPC_CSD_002_001","tail - length",1.170374,0,1
"51i52k9z1uxm772","MGI:2139628","CTSO","C57BL","Early adult","IMPC_GEP_086_001","delayed embryonic development",1.375769,0,1
"5210f2vqcm1q278","MGI:2447076","KIF26B","C57BL","Early adult","JAX_OFD_013_001","periphery average speed",1.126776,0,1
"52724fo96fk471m","MGI:1861453","ACTL6A","C57BL","E9.5","IMPC_ECG_004_001","rr",1.332058,0,1
"527554894j673u1","MGI:1277960","PATJ","C57BL","Middle aged adult","UCDLA_GRS_011_001","forelimb and hindlimb grip strength normalised against body weight",1.294607,0,1
"52gwg87n5p54z16","MGI:2444748","CHD7","C3H","Early adult","IMPC_HEM_006_001","mean corpuscular hemoglobin",1.059412,0,1
"52h302jf352147v","MGI:2685061","DYTN","C57BL","Early adult","IMPC_HWT_008_001","heart weight",1.03076,0,1
"52txbr49f84z2mm","MGI:88491","CRABP2","C57BL","Early adult","JAX_LDT_007_001","latency to first transition into dark",1.376952,0,1
"5315oce87048m67","MGI:1923997","DAPL1","C57BL","Late adult","IMPC_GEP_029_002","cyanosis",1.137722,0,1
"5383e43081h2623","MGI:1276107","MMP16","C57BL","Early adult","ESLIM_005_001_005","bone mineral content",1.3251,0,1
"53c91lght9p8490","MGI:1921985","TRIM14","C57BL","Early adult","IMPC_ECG_028_001","qt",1.254403,0,1
"53kuu10peq03487","MGI:2447076","KIF26B","C57BL","Early adult","IMPC_CSD_006_001","coat - color - head",1.462415,0,1
"5435nt1f88vn6l1","MGI:1201792","PDE1A","C57BL","Early adult","ESLIM_005_001_701","bmc/body weight",1.268287,0,1
"5463512ag0v0x75","MGI:1913826","UQCRH","C57BL","Late adult","CCP_LFO_011_001","inspiratory capacity",1.234971,0,1
"54sahul11sq251h","MGI:1922869","FASTKD2","C57BL","Early adult","IMPC_OFD_021_001","number of rears - total",1.19973,0,1
"550k6891f34gg15","MGI:1918575","TCHHL1","C57BL","Early adult","IMPC_EYE_017_001","lens opacity",1.006646,0,1
"55572b219iawf7k","MGI:1917854","DNAJB14","C57BL","E9.5","IMPC_DXA_010_001","bone area",1.313484,0,1
"55a0wl4lr3aqs33","MGI:1920000","FAM117B","C57BL","Early adult","IMPC_CSD_037_001","unexpected behaviors",1.319337,0,1
"55r7win05826h29","MGI:1921696","SLC9B1","C57BL","Late adult","IMPC_CSD_024_001","vibrissae - appearance",1.393961,0,1
"56hm4013sydr86b","MGI:1915106","ECHDC3","C57BL","Early adult","M-G-P_006_001_028","number of pelvic vertebrae",1.356983,0,1
"56n6be0ml1gl84w","MGI:2682639","DDX31","C57BL","E12.5","ESLIM_005_001_702","lean/body weight",1.01645,0,1
"56ospn46jas0il4","MGI:1919410","TMEM163","C57BL","Early adult","IMPC_GEO_009_002","hemorrhage",1.118298,0,1
"56vzzeatvk6lff9","MGI:1913826","UQCRH","C57BL","Middle aged adult","IMPC_ACS_033_001","% pre-pulse inhibition - ppi1",1.075046,0,1
"57460ua16636w3b","MGI:1913302","SDHC","C57BL","Early adult","IMPC_CSD_028_001","snout size",1.021763,0,1
"5778pmo7qz672ue","MGI:2181366","CAPN8","C57BL","Early adult","M-G-P_026_001_004","coat colouration",1.469565,0,1
"577nt320m0bh81q","MGI:3780953","MNDAL","C57BL","Early adult","CCP_XRY_064_001","thoracic processes",1.229469,0,1
"57c28e279f67764","MGI:1336993","AP4E1","C57BL","Early adult","IMPC_OFD_011_001","periphery resting time",1.17021,0,1
"587g768e03ik8a8","MGI:2385112","NDUFS2","C57BL","E9.5","IMPC_GEO_069_001","delayed embryonic development",1.097669,0,1
"58b9x9k170o6z3n","MGI:98289","SCG5","C57BL","Early adult","IMPC_ABR_008_001","18khz-evoked abr threshold",1.088155,0,1
"58h94u456h0dl30","MGI:1916264","TNIK","C57BL","Early adult","IMPC_HEM_003_001","hemoglobin",1.450274,0,1
"594q12f3o8596qc","MGI:3030932","OR8H8","C57BL","Early adult","ESLIM_013_001_003","left retina",1.177235,0,1
"594u2053ioi5fup","MGI:1913941","GAPVD1","C57BL","Middle aged adult","IMPC_HEM_031_001","lymphocyte differential count",1.207597,0,1
"59953si5peidso4","MGI:1197010","SUMO1","C57BL","Early adult","IMPC_EYE_007_001","cornea",1.353878,0,1
"59e97cm2022t71q","MGI:1201414","CER1","C57BL","Early adult","IMPC_HEM_002_001","red blood cell count",1.177126,0,1
"59frdgwlp11m519","MGI:1917854","DNAJB14","C57BL","E18.5","IMPC_CSD_006_001","coat - color - head",1.006002,0,1
"59xu6v6efn0uo1e","MGI:2159210","TIPARP","C57BL","Early adult","IMPC_DXA_003_001","lean mass",1.044322,0,1
"5a776or2l0ei8l2","MGI:2444646","HPDL","C57BL","E18.5","JAX_OFD_010_001","periphery distance travelled",1.341378,0,1
"5ai7zl2j5e37h59","MGI:1918575","TCHHL1","C57BL","Early adult","IMPC_CSD_006_001","coat - color - head",1.160936,0,1
"5b6614eo4397y0d","MGI:3650624","ARID3C","C57BL","Early adult","M-G-P_016_001_005","mean-cell-volume",1.436049,0,1
"5bq7b71t858xu35","MGI:1336879","FKBP7","129SV","Early adult","HRWL_VFR_004_001","habituation: 50% threshold (log scaled)",1.410742,0,1
"5ced87655b1eoc9","MGI:1921778","MGME1","C57BL","Early adult","IMPC_GEP_086_001","delayed embryonic development",1.113468,0,1
"5cs47erp2v6l3k0","MGI:2669796","RTN4RL2","C57BL","Early adult","TCPLA_EYE_027_001","persistence of hyaloid vascular system",1.046151,0,1
"5ctz2f43p0672u1","MGI:2447076","KIF26B","C57BL","E12.5","IMPC_CBC_002_001","potassium",1.179339,0,1
"5e94v92d8qv2629","MGI:1921783","GZF1","C57BL","Early adult","HRWLLA_IPG_010_001","fasted blood glucose concentration",1.256554,0,1
"5fdnx639b78623k","MGI:1918079","CCDC93","C57BL","Early adult","HRWLLA_IPG_010_001","fasted blood glucose concentration",1.045183,0,1
"5hz770824e7gn51","MGI:3652166","LDLRAD1","C57BL","Early adult","IMPC_EYE_059_001","mean right eye lens density",1.169477,0,1
"5i689vs18753669","MGI:2158650","IDH3B","C57BL","Late adult","ESLIM_018_001_002","t cell cd8+ percentage",1.188598,0,1
"5i7jn12641ljhhf","MGI:2158650","IDH3B","C57BL","Late adult","IMPC_CSD_028_001","snout size",1.434566,0,1
"5i7wfmcqznw0367","MGI:95476","FABP3","C57BL","Early adult","IMPC_OFD_018_001","latency to center entry",1.257144,0,1
"5i9q9dctq45271r","MGI:104650","CNR2","C57BL","Early adult","IMPC_CSD_029_001","activity (body position)",1.083885,0,1
"5j6tz21el5p24k9","MGI:3607704","SLC22A15","C57BL","Early adult","UCD_OWT_029_001","body length",1.357987,0,1
"5jyuravyt867bk9","MGI:1921660","TTLL11","C57BL","Early adult","ICS_FEA_018_001","% freezing duration pre-cue-1",1.485546,0,1
"5kfs74wo20zpg21","MGI:2684058","TBPL2","B6J","Early adult","IMPC_HEM_029_001","neutrophil differential count",1.35162,0,1
"5lts9k6togj6cx1","MGI:1923547","KTI12","C57BL","Early adult","IMPC_CBC_002_001","potassium",1.12364,0,1
"5mxgbhb421jnsbq","MGI:2181434","PHC3","C57BL","Early adult","UCDLA_GRS_011_001","forelimb and hindlimb grip strength normalised against body weight",1.002138,0,1
"5ns6ht271eh374z","MGI:2158650","IDH3B","C57BL","Late adult","M-G-P_014_001_014","iris/pupil light response",1.490861,0,1
"5nse2xy6186zc72","MGI:2685280","MYOM3","C57BL","Early adult","JAX_LDT_007_001","latency to first transition into dark",1.318242,0,1
"5nz1040dfh4xkk2","MGI:1336993","AP4E1","C57BL","Early adult","GMC_916_001_008","latency familiar object exploration",1.29266,0,1
"5pc5x8lw0as2xoa","MGI:1861453","ACTL6A","C57BL","Early adult","IMPC_GRS_009_001","forelimb and hindlimb grip strength measurement mean",1.173805,0,1
"5pinua01r44v30j","MGI:107339","GFM1","C57BL","Early adult","IMPC_GPO_003_001","placenta vasculature",1.458119,0,1
"5pwj32u6bfpx0sd","MGI:1916976","SMYD3","129SV","Early adult","IMPC_GEO_009_002","hemorrhage",1.238276,0,1
"5py4y76z90500q7","MGI:2156003","SNIP1","C57BL","Early adult","IMPC_CSD_030_001","tremor",1.194218,0,1
"5r27839n79sp040","MGI:1890577","SRSF4","C57BL","Early adult","JAX_SLW_006_001","sleep bout lengths standard deviation",1.238963,0,1
"5rqx2443g64223l","MGI:107372","PTER","C57BL","Early adult","UCD_OWT_004_001","left kidney",1.039477,0,1
"5t273838z80seg9","MGI:1921783","GZF1","C57BL","Early adult","CCP_XRY_064_001","thoracic processes",1.209251,0,1
"5t51vt1x5357971","MGI:1921579","INAVA","C57BL","Early adult","ESLIM_021_001_005","hdl-cholesterol",1.449154,0,1
"5t57chq3il1fgti","MGI:3645211","LIPT1","C57BL","Early adult","UCD_OWT_004_001","left kidney",1.340892,0,1
"5t78323l0yrw8vz","MGI:2444300","ARHGAP11A","C57BL","Early adult","M-G-P_014_001_007","cornea opacity",1.001203,0,1
"5ts6838806o2n71","MGI:1929600","PMEPA1","C57BL","Early adult","ICS_FEA_021_001","% pre-cue freezing total",1.323565,0,1
"5tw47457m461pkb","MGI:1921783","GZF1","C57BL","Early adult","IMPC_ABR_010_001","24khz-evoked abr threshold",1.031763,0,1
"5u1488w725v011y","MGI:1923902","ACTRT3","C57BL","Early adult","IMPC_EYE_057_001","min right eye lens density",1.368446,0,1
"5vaweo22392yc5s","MGI:2685830","NSL1","C57BL","Early adult","IMPC_EYE_008_001","corneal opacity",1.33646,0,1
"5vsr91zpyj5jt99","MGI:1336993","AP4E1","C57BL","E18.5","IMPC_GPP_004_001","placenta size",1.232451,0,1
"5vw0626k225gph0","MGI:95476","FABP3","C57BL","Early adult","JAX_OFD_017_001","center average speed",1.286539,0,1
"5vyiasi45r2bbs6","MGI:1277952","SERPINB3C","C57BL","Early adult","IMPC_GPP_003_001","placenta vasculature",1.253991,0,1
"5woq0vvxa51o26q","MGI:3780953","MNDAL","C57BL","E9.5","ESLIM_015_001_003","creatinine",1.407412,0,1
"5ww04q412lhmdb4","MGI:1276107","MMP16","C57BL","Early adult","IMPC_CSD_011_001","coat - hair distribution - back",1.491594,0,1
"5y02amtmtsy1f5f","MGI:1277960","PATJ","C57BL","Early adult","ESLIM_015_001_015","alkaline phosphatase",1.173113,0,1
"5y0egj189n2k4wg","MGI:106227","CAPZA1","C57BL","Early adult","IMPC_GEL_014_001","allantois morphology",1.063252,0,1
"5yz7cw105v7p68g","MGI:2684063","ASXL1","C57BL","Early adult","IMPC_DXA_008_001","lean/body weight",1.276382,0,1
"601y8mz3o4w1wi0","MGI:1890577","SRSF4","129SV","Early adult","IMPC_OFD_013_001","periphery average speed",1.0143,0,1
"606pt2640ri62tz","MGI:3645211","LIPT1","C57BL","E9.5","M-G-P_006_001_028","number of pelvic vertebrae",1.247265,0,1
"60n85n83a46rz8u","MGI:1918103","VWA3B","C57BL","Early adult","KMPCLA_CSD_008_001","coat - color pattern - back",1.189248,0,1
"60xgq610x21oh92","MGI:2139309","GARNL3","C57BL","E18.5","IMPC_CBC_009_001","calcium",1.394955,0,1
"61594zz4gxcrp3p","MGI:1919132","SERINC2","C57BL","Early adult","IMPC_HWT_008_001","heart weight",1.037962,0,1
"616k7jar42r9e1m","MGI:3645211","LIPT1","C57BL","E9.5","IMPC_DXA_006_001","body length",1.437335,0,1
"6179rx9h23l80pv","MGI:2385206","PABPC4","C57BL","Early adult","TCPLA_EYE_027_001","persistence of hyaloid vascular system",1.279426,0,1
"61b8ucr29j4svx7","MGI:2685061","DYTN","C57BL","Early adult","JAX_OFD_007_001","whole arena resting time",1.137897,0,1
"61h5868q2ah149m","MGI:88016","AMPD2","C57BL","Early adult","CCP_LFO_011_001","inspiratory capacity",1.241317,0,1
"61i8b8ffk8eg1nw","MGI:2385619","KLHL12","C57BL","Late adult","IMPC_CSD_004_001","tail - morphology",1.189925,0,1
"61i965541d14ha5","MGI:2449980","NOXA1","C57BL","Early adult","IMPC_CSD_002_001","tail - length",1.064625,0,1
"621a46l3jv28d7i","MGI:1917237","SPACA9","C57BL","Early adult","IMPC_HEM_005_001","mean cell volume",1.123269,0,1
"622januxnn055l2","MGI:106505","ZMYM6","C57BL","Early adult","IMPC_OFD_019_001","number of center entries",1.455821,0,1
"622l1u345t401k2","MGI:1349461","B3GALT2","C57BL","Early adult","IMPC_EYE_007_001","cornea",1.30209,0,1
"623wr56zp40w81v","MGI:1201607","BLZF1","C57BL","Early adult","IMPC_CBC_007_001","albumin",1.454637,0,1
"626zyph0ce405k0","MGI:1197010","SUMO1","C57BL","Early adult","IMPC_HWT_008_001","heart weight",1.205644,0,1
"631n8r02hoi8ci7","MGI:1276107","MMP16","C57BL","Early adult","IMPC_CBC_011_001","iron",1.25805,0,1
"636i07999ntd367","MGI:1098230","CENPE","C57BL","Early adult","M-G-P_007_001_006","periphery - distance",1.018371,0,1
"63a76c446wl42dk","MGI:1917634","TMEM185B","C57BL","Early adult","IMPC_EYE_056_001","mean left eye lens density",1.461614,0,1
"63g32v810zxj8hp","MGI:2685280","MYOM3","C57BL","Early adult","IMPC_HEM_038_001","basophil differential count",1.031419,0,1
"640ezb8r60pu5ln","MGI:2442190","CAMK1D","C57BL","Middle aged adult","IMPC_OFD_050_001","percentage center movement time",1.034269,0,1
"64220mw9g79pl4b","MGI:1197010","SUMO1","C57BL","Early adult","JAX_LDT_007_001","latency to first transition into dark",1.495174,0,1
"646nl6b95jp346i","MGI:3027003","INO80D","C57BL","E12.5","IMPC_OFD_021_001","number of rears - total",1.477797,0,1
"649u6b9780637r4","MGI:1098230","CENPE","C57BL","Early adult","CCP_XRY_065_001","lumbar processes",1.364619,0,1
"64g60wr96xeatb2","MGI:3652166","LDLRAD1","C57BL","Early adult","IMPC_DXA_010_001","bone area",1.251586,0,1
"6541gbym70r0p6a","MGI:2156687","SLC2A10","C57BL","Early adult","IMPC_OFD_017_001","center average speed",1.441924,0,1
"654688546p6ntxk","MGI:2387194","QSOX2","C57BL","Early adult","HRWLLA_CBC_004_001","urea (blood urea nitrogen - bun)",1.079773,0,1
"6553735fyy433s6","MGI:109339","EYA3","C57BL","Early adult","IMPC_CBC_015_001","total cholesterol",1.43794,0,1
"6584o89vvz39797","MGI:2685280","MYOM3","C57BL","Early adult","IMPC_DXA_008_001","lean/body weight",1.313833,0,1
"658f9m51k846pv8","MGI:1916417","PPP1R12B","C57BL","Early adult","IMPC_IMM_033_002","naãâ¯ve cd8+ t cells - % of live leukocytes (panel a)",1.270061,0,1
